"Year","Date","Day","Item","Checked Out","Checked In","TimeBin"
2023," Sep 17","Sun","FR"," 9:25P"," 9:37P","8PM-10PM"
2023," Sep 18","Mon","FR"," 5:59P"," 6:07P","4PM-6PM"
2023," Sep 20","Wed","FR"," 12:17P"," 4:13P","12PM-2PM"
2023," Sep 21","Thu","FR"," 3:25P"," 3:42P","2PM-4PM"
2023," Sep 22","Fri","FR"," 4:47P"," 4:59P","4PM-6PM"
2023," Sep 24","Sun","SBI  "," 6:07P"," 7:14P","6PM-8PM"
2023," Sep 17","Sun","VB"," 12:40P"," 12:41P","12PM-2PM"
2023," Sep 18","Mon","VB"," 10:25P"," 10:55P","10PM-12AM"
2023," Sep 19","Tue","VB"," 9:46P"," 10:43P","8PM-10PM"
2023," Sep 20","Wed","VB"," 8:43P"," 9:05P","8PM-10PM"
2023," Sep 24","Sun","VB"," 8:55P"," 10:47P","8PM-10PM"
2023," Sep 18","Mon","MBB"," 4:22P"," 5:28P","4PM-6PM"
2023," Sep 24","Sun","MBB"," 2:25P"," 2:25P","2PM-4PM"
2023," Sep 17","Sun","MBB"," 7:31P"," 8:51P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 3:15P"," 3:55P","2PM-4PM"
2023," Sep 18","Mon","MBB"," 4:11P"," 4:11P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 5:47P"," 6:09P","4PM-6PM"
2023," Sep 18","Mon","MBB"," 6:57P"," 7:00P","6PM-8PM"
2023," Sep 18","Mon","MBB"," 9:12P"," 9:41P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 4:58P"," 6:09P","4PM-6PM"
2023," Sep 19","Tue","MBB"," 9:17P"," 9:36P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 9:39P"," 10:17P","8PM-10PM"
2023," Sep 19","Tue","MBB"," 10:31P"," 11:51P","10PM-12AM"
2023," Sep 20","Wed","MBB"," 5:14P"," 6:08P","4PM-6PM"
2023," Sep 20","Wed","MBB"," 6:32P"," 8:39P","6PM-8PM"
2023," Sep 20","Wed","MBB"," 9:00P"," 9:36P","8PM-10PM"
