Equipment History Detail,,,,
Parameters,,,,
"Sun, Sep 17, 2023 12:00 AM to Sun, Sep 24, 2023 11:59 PM",,,,
Categories: Recreational Equipment,,,,
Customer,"Checked Out
(User)",Due Date,"Checked In
(User)",Overdue
NAME,"Fri, Sep 22, 2023 7:13P","Fri, Sep 22, 2023 11:59P","Sat, Sep 23, 2023 3:18P",1 day(s)
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 3:56P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 4:19P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 11:57A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:58A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 4:53P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:35P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 6:16P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 8:21P",
,EMAIL,,EMAIL,
Item: MBB-07,,,,
NAME,"Sun, Sep 17, 2023 10:48A","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 11:55A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 1:11P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 2:04P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 3:48P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 5:14P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 5:24P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 6:28P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 6:34P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 7:03P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 7:08P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:03P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 8:24P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 9:43P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 5:46A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:09A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 7:42A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:29A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:29A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:27A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 11:55A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 12:55P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 2:20P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:55P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 3:58P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:34P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:50P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 5:10P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:40P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:57P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 6:57P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:30P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:10P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:36P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:01A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:40A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 11:28A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:51A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 11:52A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 1:00P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 3:41P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:15P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:29P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:49P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 4:25P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 5:08P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 7:30P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:07P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 5:37A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:53A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 10:50A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 11:13A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 11:48A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 12:18P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 1:07P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 1:41P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 3:01P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 3:55P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:53P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:58P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 7:06P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 7:10P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 10:28P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 11:27P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 11:29P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 11:53P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 2:10P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 3:34P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 3:36P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 4:29P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:30P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 5:15P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 6:32P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 6:41P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 6:41P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 7:46P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 9:16P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 9:58P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 1:51P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 3:01P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 3:36P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 4:31P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 6:16P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 7:01P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 8:47P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 10:46P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 11:12A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 2:33P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 3:55P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:54P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 6:29P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 7:08P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 7:38P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 9:01P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 9:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 9:03P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 10:07P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:01P",
,EMAIL,,EMAIL,
Item: MBB-08,,,,
NAME,"Sun, Sep 17, 2023 7:32P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:58P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 2:56P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:06P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:16P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:16P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 6:23P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:23P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:12P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:14P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:49P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:55P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:25P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 4:59P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:34P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:43P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 8:49P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 9:29P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:30P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:10P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 7:42P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:38P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 9:00P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:00P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 5:37A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:53A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 3:28P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 3:59P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 4:54P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:02P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:03P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:20P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 6:14P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 6:18P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 6:51P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 7:08P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 6:45P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 8:13P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 11:54A","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 1:23P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 3:30P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 4:09P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 5:40P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 6:17P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 11:57A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 12:45P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 5:02P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 6:55P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 9:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 9:33P",
,EMAIL,,EMAIL,
Equipment: Outdoor Basketball ,,,,
Item: 1,,,,
NAME,"Thu, Sep 21, 2023 5:02P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 6:32P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 5:14P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 5:15P",
,(equipment),,(equipment),
Item: 2,,,,
NAME,"Fri, Sep 22, 2023 5:14P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 6:29P",
,(equipment),,(equipment),
Equipment: Outdoor Sand Volleyball,,,,
Item: OVB - 1,,,,
NAME,"Sun, Sep 17, 2023 12:40P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 1:16P",
,EMAIL,,EMAIL,
NAME,"Tue, Sep 19, 2023 9:46P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:43P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 8:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:05P",
,EMAIL,,EMAIL,
Equipment: Outdoor Soccer Ball,,,,
Item: SOC-02,,,,
NAME,"Mon, Sep 18, 2023 8:44P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:39P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:47A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 7:02A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 6:00P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 6:55P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:51P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 6:04P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 9:45P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 10:21P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 5:17P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:20P",
,EMAIL,,EMAIL,
Equipment: Pickleball Paddle,,,,
Item: PB - 1,,,,
NAME,"Tue, Sep 19, 2023 4:46P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:05P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 4:33P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:17P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 8:28P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 9:36P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 2:12P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 2:46P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 7:48P","Sun, Sep 24, 2023 11:59P","Mon, Sep 25, 2023 10:59A",1 day(s)
,EMAIL,,(equipment),
Item: PB - 2,,,,
NAME,"Thu, Sep 21, 2023 4:33P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:17P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 3:43P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 5:54P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 7:48P","Sun, Sep 24, 2023 11:59P","Mon, Sep 25, 2023 10:59A",1 day(s)
,EMAIL,,(equipment),
Item: PB - 3,,,,
NAME,"Thu, Sep 21, 2023 4:33P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:17P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 8:28P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 9:36P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 7:48P","Sun, Sep 24, 2023 11:59P","Mon, Sep 25, 2023 10:59A",1 day(s)
,EMAIL,,(equipment),
Item: PB - 4,,,,
NAME,"Sun, Sep 24, 2023 7:48P","Sun, Sep 24, 2023 11:59P","Mon, Sep 25, 2023 10:59A",1 day(s)
,EMAIL,,(equipment),
Equipment: Resistance Bands,,,,
Item: RB - 1,,,,
NAME,"Tue, Sep 19, 2023 8:55P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:55P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 2:07P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 2:08P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 6:51P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 6:52P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 6:28P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 6:32P",
,EMAIL,,EMAIL,
Equipment: Table Tennis Paddles & Ball,,,,
Item: TT-01,,,,
NAME,"Sun, Sep 17, 2023 6:33P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 7:58P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 9:20P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:02P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:00P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:50P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 9:35P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 10:33P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 5:14P","Thu, Sep 21, 2023 11:59P","Fri, Sep 22, 2023 5:05A",1 day(s)
,(equipment),,(equipment),
Item: TT-02,,,,
NAME,"Tue, Sep 19, 2023 6:03P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:13P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 6:08P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 7:47P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 10:14P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:35P",
,EMAIL,,EMAIL,
Equipment: Tennis Racquet,,,,
Item: TENNIS-01,,,,
NAME,"Sun, Sep 17, 2023 9:28P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 10:22P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 4:13P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:21P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 9:09P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 10:20P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 10:22P","Fri, Sep 22, 2023 11:59P","Sat, Sep 23, 2023 12:18P",1 day(s)
,(equipment),,(equipment),
Item: TENNIS-02,,,,
NAME,"Thu, Sep 21, 2023 9:09P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 10:20P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 10:22P","Fri, Sep 22, 2023 11:59P","Sat, Sep 23, 2023 12:18P",1 day(s)
,(equipment),,(equipment),
Item: TENNIS-04,,,,
NAME,"Thu, Sep 21, 2023 7:27P","Thu, Sep 21, 2023 11:59P","Fri, Sep 22, 2023 5:06A",1 day(s)
,(equipment),,(equipment),
Equipment: TRX Bands,,,,
Item: TRX -2,,,,
NAME,"Tue, Sep 19, 2023 10:27A","Tue, Sep 19, 2023 11:59P","Wed, Sep 20, 2023 3:27P",1 day(s)
,(equipment),,EMAIL,
Equipment: Women's Basketball,,,,
Item: WBB-01,,,,
NAME,"Sun, Sep 17, 2023 8:40P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 9:33P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 5:59P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:20P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 7:23P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:37P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:32P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:26P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 7:15P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:30P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 10:52A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 12:21P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 12:51P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 1:20P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 5:06P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 7:35P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 2:14P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:29P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 5:45P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 7:34P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 8:05P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 9:23P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 11:54A","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 1:23P",
,(equipment),,(equipment),
Item: WBB-02,,,,
NAME,"Sun, Sep 17, 2023 7:52P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:18P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 4:11P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:41P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:49P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:59P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 5:37P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 7:36P",
,EMAIL,,EMAIL,
NAME,"Sat, Sep 23, 2023 9:25P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 10:26P",
,(equipment),,(equipment),
Item: WBB-03,,,,
NAME,"Sun, Sep 17, 2023 6:00P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 7:11P",
,EMAIL,,EMAIL,
NAME,"Tue, Sep 19, 2023 6:00P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:51P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 5:18P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 7:37P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 9:17P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 9:38P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 3:59P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:55P",
,EMAIL,,EMAIL,
Item: WBB-04,,,,
NAME,"Tue, Sep 19, 2023 5:50P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:42P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 5:27P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 7:36P",
,EMAIL,,EMAIL,
NAME,"Sat, Sep 23, 2023 9:25P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 10:26P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 4:50P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:54P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 9:56P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:02P",
,EMAIL,,EMAIL,
"Sun, Oct 22 2023 11:20P",,,,Page: 1/1
